field_type,date,impressions_sum_sum,clicks_sum_sum,cost_micros_sum_sum
Callout,2022-03-14,9985544,1071460,40057599706710
Callout,2022-03-15,8914249,1005805,35361460617783
Callout,2022-03-16,9539302,1003406,37625213528926
Callout,2022-03-17,9779776,985554,36672728645027
Callout,2022-03-18,9779396,1095965,37536878707224
Callout,2022-03-19,10652986,1019535,18875788028724
Callout,2022-03-20,10995248,1045969,18680427432523
Callout,2022-03-21,9581812,997915,29210045501551
Callout,2022-03-22,10026632,957854,29151542235534
Callout,2022-03-23,9291695,986030,29252353016746
Callout,2022-03-24,9074371,972975,31059151065393
Callout,2022-03-25,8968921,981493,35015451264426
Callout,2022-03-26,9672091,976219,30564567694292
Callout,2022-03-27,9690197,968932,25794139393447
Callout,2022-03-28,9140979,955018,32833471763500
Callout,2022-03-29,8193844,948272,29757360759323
Callout,2022-03-30,8155397,926309,28896341322607
Callout,2022-03-31,8113303,940770,25952531152541
Callout,2022-04-01,8670728,1039589,25006471134454
Callout,2022-04-02,8268843,1040774,23138022940506
Callout,2022-04-03,8075059,1032939,21948581662785
Callout,2022-04-04,7801998,927336,28570936658816
Callout,2022-04-05,7652347,905380,27326956544695
Callout,2022-04-06,7809118,876773,26119860796683
Callout,2022-04-07,7696034,868772,26286150922318
Callout,2022-04-08,7472156,866729,22078888336864
Callout,2022-04-09,7378725,889740,18463586136377
Callout,2022-04-10,8164499,908649,20758403397291
Callout,2022-04-11,7300916,857288,23905475007675
Callout,2022-04-12,2718962,334550,27263540177540
Callout,2022-04-13,108,18,4470000
LeadForm,2022-01-01,9097,1363,551123889390
LeadForm,2022-01-02,10171,1683,853498809749
LeadForm,2022-01-03,15420,2345,1044163257073
LeadForm,2022-01-04,22569,3160,1043270266816
LeadForm,2022-01-05,27505,3843,1003357199975
LeadForm,2022-01-06,27798,4061,1079539125137
LeadForm,2022-01-07,28913,4461,1011220712428
LeadForm,2022-01-08,22256,3673,877536856908
LeadForm,2022-01-09,24633,3939,1124622800727
LeadForm,2022-01-10,31766,4548,1037783062302
LeadForm,2022-01-11,27329,3737,1132134653034
LeadForm,2022-01-12,25052,3374,1162087117858
LeadForm,2022-01-13,25338,3154,1127016820781
LeadForm,2022-01-14,24376,2986,1185980097332
LeadForm,2022-01-15,16688,2489,1122386655838
LeadForm,2022-01-16,15948,2260,943133222612
LeadForm,2022-01-17,22146,2813,1161394628730
LeadForm,2022-01-18,25768,3118,1185539932992
LeadForm,2022-01-19,25691,3342,1465613058690
LeadForm,2022-01-20,24171,3201,1233863475967
LeadForm,2022-01-21,22503,3101,1136178188876
LeadForm,2022-01-22,16122,2351,989645948359
LeadForm,2022-01-23,16650,2316,945560254545
LeadForm,2022-01-24,26528,3057,1076099555802
LeadForm,2022-01-25,27959,3353,1158761655601
LeadForm,2022-01-26,29019,3463,1180502978597
LeadForm,2022-01-27,29884,3567,1109714461840
LeadForm,2022-01-28,27703,3206,954083221807
LeadForm,2022-01-29,16792,2289,916903900324
LeadForm,2022-01-30,15257,2132,514082183164
LeadForm,2022-01-31,25635,2825,161415950056
LeadForm,2022-02-01,25743,2695,48884026324
LeadForm,2022-02-02,27783,2890,53081894960
LeadForm,2022-02-03,25038,2624,53715221524
LeadForm,2022-02-04,21638,2422,59150503733
LeadForm,2022-02-05,13676,1642,61141181587
LeadForm,2022-02-06,13725,1796,75819591331
LeadForm,2022-02-07,25041,2788,69969663456
LeadForm,2022-02-08,25289,2704,73444071817
LeadForm,2022-02-09,25795,2736,81864007590
LeadForm,2022-02-10,24915,2497,65504614732
LeadForm,2022-02-11,21526,2243,124134247583
LeadForm,2022-02-12,14120,1732,98920937317
LeadForm,2022-02-13,13820,1656,98452324930
LeadForm,2022-02-14,23936,2462,132519294854
LeadForm,2022-02-15,23309,2524,118777127939
LeadForm,2022-02-16,23756,2442,143488698550
LeadForm,2022-02-17,23180,2382,121259623481
LeadForm,2022-02-18,18493,1954,55790776175
LeadForm,2022-02-19,11363,1320,29150669377
LeadForm,2022-02-20,12718,1403,39279641883
LeadForm,2022-02-21,19104,2083,55949451741
LeadForm,2022-02-22,19638,2256,72511720090
LeadForm,2022-02-23,20689,2272,62497127421
LeadForm,2022-02-24,19557,2067,58632471097
LeadForm,2022-02-25,14891,1701,52158277386
LeadForm,2022-02-26,9089,1143,52657885940
LeadForm,2022-02-27,9317,1121,42882860498
LeadForm,2022-02-28,19355,2028,45978782733
LeadForm,2022-03-01,16608,1771,34553294539
LeadForm,2022-03-02,17508,1881,54717304767
LeadForm,2022-03-03,18182,1835,62046912117
LeadForm,2022-03-04,22721,1811,70353887739
LeadForm,2022-03-05,11969,1052,57192867063
LeadForm,2022-03-06,12701,1271,61802091996
LeadForm,2022-03-07,25312,2283,73045857864
LeadForm,2022-03-08,22730,2258,73332735498
LeadForm,2022-03-09,22109,2173,86925446208
LeadForm,2022-03-10,22675,2191,84883056868
LeadForm,2022-03-11,18231,1851,55801700628
LeadForm,2022-03-12,12609,1283,61611615577
LeadForm,2022-03-13,11923,1345,65223587751
LeadForm,2022-03-14,19505,1953,75499641205
LeadForm,2022-03-15,21170,2047,68748480004
LeadForm,2022-03-16,22693,2161,63623427477
LeadForm,2022-03-17,22272,2059,71708204353
LeadForm,2022-03-18,21093,1938,72224323902
LeadForm,2022-03-19,13333,1286,56922197347
LeadForm,2022-03-20,14011,1357,68869431487
LeadForm,2022-03-21,24666,2224,83542467458
LeadForm,2022-03-22,23049,2229,80218383013
LeadForm,2022-03-23,23291,2208,91094101688
LeadForm,2022-03-24,23517,2188,88163514009
LeadForm,2022-03-25,21038,2003,72187512497
LeadForm,2022-03-26,12356,1116,54836467785
LeadForm,2022-03-27,13466,1183,60204621309
LeadForm,2022-03-28,27280,2317,84784250336
LeadForm,2022-03-29,26128,2352,69355106460
LeadForm,2022-03-30,25541,2327,71826195822
LeadForm,2022-03-31,24440,2394,632018559418
LeadForm,2022-04-01,17845,1914,301417078510
LeadForm,2022-04-02,13558,1337,192086153006
LeadForm,2022-04-03,14040,1440,200939211698
LeadForm,2022-04-04,24290,2424,178715975633
LeadForm,2022-04-05,23527,2480,166850857775
LeadForm,2022-04-06,25974,2628,177387676565
LeadForm,2022-04-07,25215,2445,152905219080
LeadForm,2022-04-08,21908,2103,154407685906
LeadForm,2022-04-09,13731,1449,99926541783
LeadForm,2022-04-10,15438,1553,110214287589
LeadForm,2022-04-11,27758,2778,132219800767
LeadForm,2022-04-12,4206,390,20995378023
Promotion,2022-01-03,1723,266,220990000
Promotion,2022-01-04,2327,328,315690000
Promotion,2022-01-05,2351,292,306810000
Promotion,2022-01-06,1982,322,280380000
Promotion,2022-01-07,2217,368,337290000
Promotion,2022-01-08,1479,184,131920000
Promotion,2022-01-09,1716,214,144510000
Promotion,2022-01-10,2423,343,337450000
Promotion,2022-01-11,2531,383,296560000
Promotion,2022-01-12,2586,444,363630000
Promotion,2022-01-13,2247,369,271520000
Promotion,2022-01-14,2086,309,268330000
Promotion,2022-01-15,1525,258,165630000
Promotion,2022-01-16,1439,233,151830000
